l_no	p_no	time	play_ox	stoptime
1	1434	20230501031148 	1	
2	3436	20230501044918 	1	
3	3398	20230501045044 	1	
4	1235	20230501051631 	1	
5	3570	20230501053942 	1	
6	827	20230501061459 	1	
7	3376	20230501073052 	1	
8	1569	20230501080927 	1	
9	1772	20230501081154 	1	
10	2507	20230501103135 	1	
11	486	20230501110901 	1	
12	797	20230501112920 	1	
13	559	20230501115248 	1	
14	3011	20230501125159 	1	
15	2719	20230501131309 	1	
16	3408	20230501144553 	1	
17	1968	20230501152604 	1	
18	555	20230501160121 	1	
19	1580	20230501162834 	1	
20	3087	20230501164559 	1	
21	3652	20230501172854 	1	
22	73	20230501182857 	1	
23	3056	20230501195119 	1	
24	2544	20230501201849 	1	
25	3585	20230501202142 	1	
26	1963	20230501212848 	1	
27	153	20230501212940 	1	
28	2654	20230501232150 	1	
29	137	20230501232636 	1	
30	3378	20230502030353 	1	
31	3280	20230502040439 	1	
32	3280	20230502041728 	1	
33	2362	20230502042340 	1	
34	3315	20230502053422 	1	
35	2057	20230502072213 	1	
36	2420	20230502073646 	1	
37	523	20230502090043 	0	0:43
38	3436	20230502095142 	1	
39	2850	20230502103729 	1	
40	1866	20230502115357 	1	
41	257	20230502130147 	1	
42	1815	20230502140953 	1	
43	2198	20230502144955 	1	
44	3613	20230502150856 	1	
45	1224	20230502152053 	1	
46	461	20230502152905 	1	
47	1890	20230502155435 	1	
48	1179	20230502181057 	1	
49	2737	20230502183945 	1	
50	415	20230502191912 	1	
51	1252	20230502194835 	1	
52	289	20230502203807 	0	1:52
53	3790	20230502214522 	0	2:10
54	2466	20230502220221 	1	
55	3608	20230502233212 	1	
56	2808	20230502234100 	1	
57	3776	20230503030612 	0	1:26
58	3598	20230503032948 	1	
59	2839	20230503045437 	1	
60	2524	20230503051338 	1	
61	1096	20230503053706 	1	
62	3761	20230503055917 	1	
63	2453	20230503061826 	1	
64	2265	20230503062957 	1	
65	621	20230503064714 	1	
66	1900	20230503075739 	1	
67	2447	20230503092136 	1	
68	1956	20230503113204 	1	
69	1732	20230503113531 	1	
70	3343	20230503134341 	1	
71	2875	20230503141036 	1	
72	1598	20230503155417 	1	
73	90	20230503180100 	1	
74	901	20230503194306 	1	
75	2336	20230503194459 	1	
76	2370	20230503200551 	1	
77	432	20230503203448 	1	
78	1481	20230503204151 	1	
79	971	20230503215041 	1	
80	3650	20230503234711 	1	
81	3281	20230504033333 	1	
82	2768	20230504044057 	1	
83	1	20230504045529 	1	
84	3763	20230504064949 	1	
85	1280	20230504065308 	1	
86	2113	20230504071300 	1	
87	444	20230504072659 	1	
88	3714	20230504075630 	1	
89	879	20230504082946 	1	
90	3044	20230504091843 	1	
91	2159	20230504094128 	1	
92	1334	20230504102113 	1	
93	85	20230504113422 	1	
94	3263	20230504115130 	1	
95	2988	20230504120703 	1	
96	3561	20230504120856 	1	
97	71	20230504123359 	1	
98	1225	20230504124421 	1	
99	2799	20230504152119 	1	
100	2121	20230504165202 	1	
101	3193	20230504185308 	1	
102	648	20230504191728 	1	
103	2929	20230504195354 	1	
104	3849	20230504195931 	0	1:18
105	3205	20230504202024 	1	
106	1645	20230504204619 	1	
107	801	20230504204820 	1	
108	1276	20230504215443 	1	
109	1199	20230504222231 	1	
110	789	20230504223319 	1	
111	3478	20230505035610 	1	
112	3132	20230505043419 	1	
113	496	20230505043454 	1	
114	2756	20230505070924 	1	
115	1530	20230505084051 	1	
116	2580	20230505084318 	1	
117	2952	20230505084837 	1	
118	3113	20230505092219 	0	2:10
119	947	20230505092704 	1	
120	2507	20230505101427 	1	
121	2499	20230505101855 	1	
122	95	20230505102506 	1	
123	2332	20230505110316 	1	
124	2965	20230505114217 	1	
125	839	20230505122604 	1	
126	2551	20230505130348 	1	
127	501	20230505144326 	1	
128	2	20230505155819 	1	
129	3878	20230505170032 	1	
130	2340	20230505170316 	1	
131	2418	20230505173614 	1	
132	776	20230505173649 	1	
133	1130	20230505174410 	1	
134	1513	20230505175113 	1	
135	877	20230505180402 	1	
