p_no	u_no	m_no
1	58	90
2	89	55
3	39	19
4	28	11
5	96	18
6	99	13
7	80	13
8	21	96
9	18	7
10	9	11
11	78	61
12	60	59
13	13	23
14	16	50
15	7	43
16	89	6
17	99	33
18	4	31
19	26	78
20	5	54
21	61	99
22	63	54
23	5	39
24	89	70
25	73	18
26	36	29
27	64	92
28	91	46
29	38	50
30	11	53
31	72	60
32	7	19
33	59	39
34	3	32
35	29	18
36	2	11
37	10	5
38	26	64
39	32	53
40	87	75
41	41	93
42	91	25
43	77	39
44	38	23
45	22	52
46	51	10
47	67	89
48	2	59
49	7	38
50	57	17
51	49	51
52	90	51
53	45	51
54	1	92
55	69	57
56	89	86
57	48	32
58	88	24
59	22	96
60	60	12
61	20	3
62	67	9
63	97	21
64	57	84
65	70	43
66	85	23
67	17	89
68	25	81
69	75	39
70	78	95
71	100	90
72	55	48
73	63	52
74	83	14
75	55	84
76	57	52
77	41	79
78	7	85
79	64	34
80	93	43
81	70	36
82	54	58
83	86	22
84	77	8
85	42	80
86	44	57
87	53	90
88	62	11
89	57	89
90	16	17
91	78	43
92	15	46
93	47	32
94	54	50
95	73	82
96	73	49
97	6	42
98	23	14
99	52	41
100	45	63
101	75	64
102	10	78
103	50	66
104	20	18
105	6	12
106	21	7
107	16	3
108	40	16
109	58	56
110	54	95
111	96	28
112	72	79
113	24	34
114	61	14
115	57	40
116	89	66
117	53	85
118	68	5
119	28	97
120	66	51
121	44	63
122	92	74
123	14	49
124	8	11
125	68	82
126	99	35
127	9	36
128	34	2
129	2	44
130	20	2
131	1	78
132	78	66
133	26	20
134	37	96
135	13	36
136	98	11
137	3	13
138	77	80
139	63	19
140	8	1
141	5	56
142	73	3
143	28	49
144	87	92
145	78	25
146	58	80
147	7	13
148	20	62
149	87	27
150	14	30
151	52	78
152	50	33
153	56	59
154	38	45
155	90	71
156	79	71
157	6	88
158	43	99
159	60	73
160	51	89
161	96	81
162	28	31
163	49	14
164	72	76
165	97	47
166	35	95
167	56	38
168	10	76
169	38	17
170	43	8
171	69	80
172	82	73
173	48	35
174	26	82
175	86	4
176	6	76
177	36	48
